DATE,LNU03000018
2016-05-01,198
2016-06-01,321
2016-07-01,244
2016-08-01,236
2016-09-01,196
2016-10-01,180
2016-11-01,171
2016-12-01,157
2017-01-01,186
2017-02-01,153
2017-03-01,139
2017-04-01,184
2017-05-01,215
2017-06-01,223
2017-07-01,239
2017-08-01,204
2017-09-01,174
2017-10-01,142
2017-11-01,174
2017-12-01,140
2018-01-01,171
2018-02-01,191
2018-03-01,189
2018-04-01,177
2018-05-01,130
2018-06-01,219
2018-07-01,201
2018-08-01,137
2018-09-01,134
2018-10-01,172
2018-11-01,149
2018-12-01,137
2019-01-01,168
2019-02-01,194
2019-03-01,148
2019-04-01,155
2019-05-01,158
2019-06-01,216
2019-07-01,192
2019-08-01,114
2019-09-01,112
2019-10-01,127
2019-11-01,137
2019-12-01,121
2020-01-01,166
2020-02-01,142
2020-03-01,167
2020-04-01,168
2020-05-01,285
2020-06-01,241
2020-07-01,209
2020-08-01,171
2020-09-01,120
2020-10-01,155
2020-11-01,102
2020-12-01,154
2021-01-01,113
2021-02-01,116
2021-03-01,112
2021-04-01,132
2021-05-01,92
2021-06-01,131
2021-07-01,147
2021-08-01,138
2021-09-01,101
2021-10-01,102
2021-11-01,142
2021-12-01,118
2022-01-01,148
2022-02-01,98
2022-03-01,155
2022-04-01,89
2022-05-01,140
2022-06-01,167
2022-07-01,203
2022-08-01,151
2022-09-01,72
2022-10-01,114
2022-11-01,122
2022-12-01,114
2023-01-01,118
2023-02-01,147
2023-03-01,97
2023-04-01,77
2023-05-01,82
2023-06-01,189
2023-07-01,215
2023-08-01,138
2023-09-01,172
2023-10-01,135
